Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_188.jpg;0;0;1;0;99.67;85.58897;0.000235406;16.71525;4.599246E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_246.jpg;0;0;0;0;99.67;85.58897;0.000235406;16.71525;4.599246E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_312.jpg;0;0;0;0;99.67;85.58897;0.000235406;16.71525;4.599246E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_380.jpg;0;0;0;0;99.67;85.58897;0.0002353203;16.71525;3.962329E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_445.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_513.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_579.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_646.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_713.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_780.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_846.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_915.jpg;0;0;0;0;99.67;85.58897;0.0002352347;16.71525;3.325282E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_09_979.jpg;0;0.1996117;0;0;99.66979;85.58891;-0.005002301;16.715;4.800393E-07
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_046.jpg;0;0.4011869;0;0.02117961;99.67161;85.58945;0.03498894;16.57318;8.402501E-05
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_116.jpg;0;0.6022528;0;0.03641152;99.67566;85.59066;0.1228274;16.77669;-0.0003920964
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_181.jpg;0;0.8046175;0;0.07730702;99.68282;85.59283;0.2740557;16.79221;-0.0004282258
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_248.jpg;0;1;0;0.121766;99.69772;85.59726;0.554489;16.73215;-0.0006833444
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_314.jpg;0;1;0;0.1688952;99.71236;85.60159;0.788047;16.66364;-0.0001411795
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_380.jpg;0;1;0;0.2360309;99.73058;85.60701;1.049196;16.66199;-0.0003195783
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_449.jpg;0;0.7996731;0;0.278223;99.75682;85.61481;1.309297;16.64049;-0.002226743
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_516.jpg;0;0.5949152;0;0.3355595;99.77566;85.62041;1.240834;16.59355;-0.002326865
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_580.jpg;0;0.3981181;0;0.3726717;99.79484;85.62598;1.076568;16.60812;-0.0007446753
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_648.jpg;0;0.1969571;0;0.3846802;99.82134;85.63387;0.8662997;16.65138;0.005671546
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_715.jpg;0;0;0;0.3990083;99.84185;85.63999;0.7164815;16.63252;0.01151241
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_781.jpg;0;0;0;0.3999637;99.86226;85.64608;0.561666;16.63251;0.01631106
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_849.jpg;0;0;0;0.3987933;99.88934;85.65416;0.353315;16.63251;0.0215209
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_914.jpg;2.992726;0;0;0.3974928;99.90951;85.66058;0.2015951;16.69487;0.03292891
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_10_980.jpg;6.006531;0;0;0.3954009;99.9296;85.66743;0.05791878;16.82513;0.05205402
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_049.jpg;8.919229;0;0;0.3934061;99.95623;85.67735;359.8835;17.11815;0.09115674
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_115.jpg;11.99874;0;0;0.3910724;99.97608;85.68542;359.7678;17.428;0.1306522
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_181.jpg;14.92683;0;0;0.3874424;99.9958;85.69404;359.6665;17.80622;0.1769346
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_248.jpg;15;0;0;0.3844683;100.0224;85.70589;359.5753;18.35096;0.2189426
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_316.jpg;15;0;0;0.3815238;100.0426;85.71519;359.5358;18.76999;0.2417357
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_381.jpg;15;0;0;0.3780464;100.0628;85.72472;359.5194;19.19323;0.2543964
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_449.jpg;15;0;0;0.3756389;100.0898;85.73785;359.5207;19.7661;0.266289
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_517.jpg;13.49434;0.1003776;0;0.3726095;100.1101;85.74786;359.5383;20.12682;0.2666052
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_584.jpg;10.49928;0.300048;0;0.3802688;100.1392;85.76173;359.6167;20.60551;0.2549297
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_650.jpg;7.517261;0.4988493;0;0.4006428;100.1631;85.7725;359.7261;20.84036;0.2301744
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_716.jpg;4.477529;0.7014981;0;0.4217751;100.188;85.78339;359.8516;21.04504;0.1968811
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_782.jpg;1.506342;0.8995771;0;0.4637963;100.2173;85.79536;0.06701893;21.10303;0.1497115
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_850.jpg;0;1;0;0.504025;100.2625;85.8129;0.463844;21.13896;0.0724573
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_916.jpg;0;1;0;0.5661834;100.2996;85.82689;0.7817729;21.05807;-0.004931295
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_11_984.jpg;0;1;0;0.6246915;100.3532;85.84841;1.198362;21.0718;359.9706
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_051.jpg;0;1;0;0.6646116;100.3938;85.86488;1.362163;20.82101;0.0007966891
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_116.jpg;0;1;0;0.7495758;100.4331;85.88015;1.237028;20.7917;-0.002774184
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_183.jpg;0;1;0;0.8024478;100.4916;85.90224;1.12642;20.77295;-0.0009061357
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_249.jpg;0;1;0;0.841709;100.5393;85.92023;1.105606;20.90575;-0.0008168399
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_317.jpg;2.994091;1;0;0.8854479;100.5901;85.94026;1.133498;21.02895;0.006282602
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_383.jpg;5.999225;1;0;0.9552878;100.6626;85.97069;1.229383;21.54787;0.0184346
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_451.jpg;9.025792;1;0;1.003686;100.719;85.99607;1.263559;22.12534;0.004002984
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_517.jpg;12.04508;1;0;1.065223;100.776;86.02413;1.233525;22.83157;359.9942
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_583.jpg;15;1;0;1.112202;100.8539;86.06665;1.189303;24.24903;0.0178808
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_12_651.jpg;15;1;0;1.150977;100.9145;86.10181;1.177507;25.45354;0.04877764
